Supervisor de Centros Culturales,Técnico Medio,Técnico,Común,VIII,,4a660ba2-5608-5714-965f-e806d85f69b3
Redactor B de Estilo,Universitario,Técnico,Común,VIII,,4e4962e5-b729-5db4-9150-1710fa9e8acf
Ascensorista,Universitario,Servicio,Propio,I,,97dd8cff-6660-5abe-855b-659d1463c2b9
Auxiliar de Abastecimiento,Universitario,Servicio,Propio,III,,0ec64b85-e453-5220-a228-6bf1b6c68b29
Auxiliares de Comedores Escolares,Universitario,Servicio,Propio,II,,4fd3a028-7328-5d70-b04b-dea5caa6a07f
Auxiliar de Instruccion,Universitario,Servicio,Propio,V,,6284a7ad-c9a1-5708-9e82-9fa40bf5c8d1
Auxiliar de Laboratorio Docente,Universitario,Servicio,Propio,III,,99b0a58f-265a-5e7b-ac53-84793d798e5c
Auxiliar de Limpieza,Universitario,Servicio,Propio,I,,95004395-2c70-5a88-92b4-1921dd9219e8
Auxiliar de  Protocolo,Universitario,Servicio,Propio,VI,,f29f9e5c-0c81-5eb8-b291-02847a9c0f6d
Auxiliar de  Roperia,Universitario,Servicio,Propio,I,,bc7a1d01-0a25-56d1-96c1-afee25bc4e90
Auxiliar Especial Operativo de Servicios,Universitario,Servicio,Propio,IV,,751a4b7a-a796-5b56-bed0-21189879dc1a
Auxiliar General de Salón de Protocolo,Universitario,Servicio,Propio,III,,a408545e-d113-585d-b380-b5626fea7050
Auxiliar General de Servicios,Universitario,Servicio,Propio,II,,2a9718e4-2804-51fe-88ac-2791d5177322
Bedel,Universitario,Servicio,Propio,II,,c1eb41c3-8421-5528-88c7-5d2efd2d5842
Chequeador de Parqueo,Universitario,Servicio,Propio,I,,3266cb08-248a-547a-b9c3-8569fb114749
Coordinador de Alojamiento y Pasaje,Universitario,Servicio,Propio,III,,9aadd578-0b9b-5923-b754-acb9d2f345d2
Coordinador de Atención a Delegaciones Nacionales y Extranjeras,Universitario,Servicio,Propio,IV,,2a3662f9-e70a-5178-bcdc-8a81053e0c4f
Coordinador de Propaganda,Universitario,Servicio,Propio,IV,,a94c6584-a8e0-5868-8491-32efcef06906
Coordinador-Distribuidor de Materiales,Universitario,Servicio,Propio,III,,19999a00-a930-5112-abe9-65a79ddbcc94
Custodio,Universitario,Servicio,Propio,II,,b43c2957-8e60-57f6-87ff-0c0859ed4858
