A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;(División 01 - 05)
;01;;AGRICULTURA CAÑERA
;;0110;Cultivo de la caña de azúcar
;;;En esta clase se incluye  la producción de la caña de azúcar con destino a la industria azucarera  para semilla   para  forrajes y otros.  Incluye  la preparación de la tierra,  siembra, cosecha, etc.
;02;;AGRICULTURA NO  CAÑERA 
;;;Los cultivos que se detallan dentro de esta división incluyen la preparación de la tierra, la actividad de viveros para  la obtención de posturas para la siembra  siembra, cosecha, etc., en cada una de sus clases. 
;;;Excluye: La explotación de viveros forestales se incluye en la clase 0500 (Silvicultura  extracción de madera y actividades conexas)
;;0211;Cultivo de arroz y otros cereales
;;;En esta clase se incluye la producción agrícola de cultivo de arroz y otros  cereales, maíz, trigo, etc.
;;0212;Cultivo de tubérculos y raíces, leguminosas y oleaginosas
;;;En esta clase se incluye los cultivos temporales o de ciclo corto de tubérculos y raíces: papa, boniato, malanga, yuca, ñame y otros.
;;;Cultivo de semillas oleaginosas y/o leguminosas secas (frijol, soya, girasol, incluso maní y otros).
;;0213;Cultivo de hortalizas y productos de vivero
;;;En esta clase se incluye los cultivos al aire libre y bajo techo   los realizados en los organopónicos e hidropónicos de hortalizas que dan frutos como tomate, cebolla, pimiento, calabaza, pepino, melón, col y otros. 
;;;Cultivo de plantas que dan flores y capullos. Cultivo y producción de especialidades hortícolas, incluso semillas de flores  esquejes sin raíces  bulbos, tubérculos, raíces tuberosas, cebollas, brotes y rizomas.
;;;Cultivo de plantas para trasplantes y para ornamentación.
;;;Excluye: La recolección  de productos silvestres, se incluye en la clase 0500 (Silvicultura, extracción de madera y actividades conexas). La explotación de viveros forestales también se incluye en la clase 0500.
;;0214;Cultivo de café y cacao
;;;Esta clase incluye los cultivos de plantas cuyos frutos se  utilizan para preparar bebidas, como café (café cereza)    y cacao (en grano). 
;;;Excluye:   La elaboración de cacao se incluye en la clase 1543 (Elaboración de cacao y chocolate y de productos de confitería).
;;;La elaboración de café se incluye en la clase 1544 (Descascarado y tostado de café).
;;0215;Cultivo de tabaco
;;;Esta clase incluye la preparación de la tierra, siembra, cosecha y beneficio del cultivo de tabaco rubio y tabaco negro hasta su recogida.  Se incluye la actividad de viveros para la obtención de posturas para la siembra.
;;0216;Cultivo de cítricos
;;;Esta clase incluye el cultivo de las siguientes frutas: frutas cítricas (naranja, toronja, limón, etc.).
;;0217;Cultivo de otros  frutales
;;;Esta clase incluye el cultivo de otras frutas: coco, mango, guayaba, aguacate, fruta bomba, piña, etc. Además el  cultivo de plátano (fruta y vianda).
;;0218;Otros cultivos n.c.p.
;;;En esta clase se incluye el cultivo de plantas que dan materias  textiles y enriamiento de plantas que dan fibras textiles, cultivo de plantas que dan materiales para trenzado, acolchado y relleno,  y para cepillos y escobas.
;;;Cultivo de especias sin elaborar como las especias de hoja (por ejemplo: laurel, albahaca, etc.,)  especias de semilla (por ejemplo: anís, cilantro y comino)  especias de flor (por ejemplo: canela)  especias de fruto (por ejemplo: clavos de olor)  y otras especias (por ejemplo: nuez moscada y jengibre).
;;;Cultivo de plantas utilizadas principalmente en farmacia y para producir insecticidas, fungicidas y productos similares.
;;;Producción de semillas para la siembra  plantas forrajeras, incluso pastos forrajeros.
;;;Además se incluye el beneficio de la yagua, y cultivos no clasificados en otra parte.
;03;;GANADERÍA
;;0311;Cría de ganado bovino
;;;Esta clase incluye la cría de animales domesticados de ganado bovino, su  reproducción, servicios de engorde en corrales y desarrollo hasta su entrega a sacrificio. Además cría de ganado reproductor y de trabajo.
;;;Producción de leche  y semen bovino.
;;;La producción de mantequilla, queso y otros productos lácteos como actividad secundaria.
;;;La elaboración de leche fuera del establecimiento se incluye en la clase 1520 (Elaboración de productos lácteos).
;;0312;Cría de ganado porcino
;;;Esta clase abarca la cría de animales domesticados de ganado porcino, su reproducción,  engorde en corrales y desarrollo hasta su entrega para el sacrificio.
;;;Excluye: El albergue, cuidado y reproducción de ganado se incluye en la clase 0420 (Actividades de servicios relacionados con la ganadería - excepto Servicios veterinarios -).
;;;La producción de mataderos se incluye en la clase 1511 (Producción de carne y de productos cárnicos).
;;0313;Cría de aves
;;;Esta clase incluye la cría de aves de corral, su reproducción, servicio de engorde y desarrollo hasta su entrega para el sacrificio o matanza. Incluye pollos, patos, pavos,  faisanes, oca, etc.
;;;La producción de huevos y otros productos procedentes de animales vivos.  Explotación de criaderos de polluelos.
;;;Excluye: La producción de mataderos se incluye en la clase 1511 (Producción de carne y de productos cárnicos).
;;0314;Cría de ganado ovino, caprino y equidos
;;;Esta clase incluye la cría de animales domesticados, como ovejas, cabras, caballos, asnos, mulas, burdéganos y otros  su reproducción, servicio de engorde y desarrollo hasta su entrega para el sacrificio.  Incluye leche sin elaborar.
;;;Excluye: El albergue, cuidado y reproducción de ganado se incluye en la clase 0420 (Actividades de servicios relacionados con la ganadería -excepto Servicios veterinarios-).
;;;La producción de mataderos se incluye en la clase 1511 (Producción  de carne y de productos cárnicos).
;;0315;Cría de otros animales
;;;Esta clase incluye la cría en cautiverio de animales semidomesticados o salvajes, incluye la reproducción y   desarrollo hasta su entrega para el sacrificio inclusive de  pájaros, reptiles, insectos, conejos, ranas, etc.
;;;Incluye la actividad apícola  y la producción de miel y cera.
;;;Obtención de productos de animales vivos como huevo, pelos finos u ordinarios de animal (incluso crines) sin cardar ni peinar,  etc.  Producción de pieles finas sin curtir, excepto las pieles finas de conejos y liebres   cueros de reptiles y plumas de aves como parte de la explotación ganadera. 
;;;Cría de perros,  gatos, moscas,  lombrices,  moluscos terrestres, etc.
;;;Excluye: La explotación de criaderos de peces y granjas piscícolas se incluye en la clase 0810 (Explotación de criaderos). 
;;0316;Caza
;;;En esta clase se incluye la caza ordinaria y mediante trampas , efectuada con fines comerciales: la captura de animales, vivos o muertos para alimento, por sus pieles y cueros, y para su utilización en investigaciones, en parques zoológicos y como animales caseros.
;;;Producción de cueros de reptiles y plumas de aves mediante actividades de caza ordinaria y con trampas.
;;;Reproducción y repoblación de animales de caza.
;;;Excluye: La producción de cueros y pieles de mataderos se incluye en la clase 1511 (Producción de carne y de productos cárnicos).
;;;Las actividades de servicios relativas a la caza con fines deportivos o recreativos se incluye en la clase 9510 (Actividades deportivas).
;04;;SERVICIOS AGRÍCOLAS, GANADEROS Y VETERINARIOS
;;0410;Actividades de servicios relacionados con la agricultura
;;;En esta clase se incluyen las actividades especializadas que se realizan principalmente en el establecimiento por contrata o a cambio de una retribución: suministro y alquiler de maquinaria agrícola, carretas e implementos  con conductores y otros operarios. Plantación y cuidado de cultivos, incluso su protección contra enfermedades e insectos.
;;;Recolección de cosechas y actividades conexas, como preparación de los productos para su comercialización en mercados primarios mediante actividades de limpieza, recorte, clasificación, secado, descascarillado, enriado, refrigeración y envase a granel.
;;;Transplante de plantas  de arroz en los arrozales.
;;;Actividades de contratistas de mano de obra para el sector agropecuario.
;;;Manejo de sistema de riego con fines agrícolas.
;;;Planificación y diseño paisajista para la plantación, población, recorte, cuidado, instalación y conservación de prados y jardines, y actividades fitosanitarias (para el cuidado de árboles y arbustos ornamentales)
;;;Excluye: La preparación de fibras vegetales para uso textil se incluye en la clase 1911 (Preparación y elaboración de hilazas  tejidos planos).
;;;Las actividades de comercialización realizadas por comisionistas y asociaciones cooperativistas se incluyen en la división 51 (Comercio mayorista y en comisión).
;;;Las actividades de ingenieros y economistas agrónomos se incluye en la clase 7214 (Actividades de asesoramiento empresarial y en materia de gestión). La arquitectura paisajista se incluyen en la clase 7120 (Actividades de arquitectura,  ingeniería y otras actividades técnicas).
;;;Las actividades de veterinaria se incluyen en la clase 0430 (Servicios veterinarios).
;;0420;Actividades  de  servicios  relacionados  con  la  ganadería  (excepto servicios veterinarios)
;;;En esta clase se incluyen las actividades especializadas que se realizan principalmente en el establecimiento por contrata o a cambio de una retribución:
;;;- Albergue, cuidado y reproducción de animales. Actividades para mejorar la reproducción, el crecimiento y el rendimiento de los animales y para obtener productos derivados de estos.
;;;- Actividades tales como inseminación artificial, inspección sanitaria, arreo y pastoreo de ganado, capadura de aves de corral, limpieza de gallineros y recolección de estiércol. También, baños parasiticidas, limpieza y clasificación de huevos, desuello de animales y actividades conexas.
;;;- Actividades realizadas para establecimientos especiales, como los de cría de reptiles y ranas, pero excluidas las granjas piscícolas.
;;;Excluye: La prestación de servicios de engorde del ganado en corrales se incluye en la división 03 (Ganadería).
;;;Las actividades de comercialización realizadas por comisionistas y asociaciones productivas (EJT, cooperativas  etc.) se incluyen en la división 51 (Comercio mayorista y en comisión).
;;0430;Servicios veterinarios
;;;Esta clase abarca las actividades veterinarias realizadas en hospitales, centros no hospitalarios y a domicilio, realizadas a animales domésticos y animales no domésticos (incluidos animales de zoológicos y animales criados para la industria peletera o de otra índole), los que reciben atención médica, quirúrgica y odontológica. Estos servicios están destinados a curar, reanimar animales y mantenerlos sanos. Se incluyen actividades de laboratorio y técnicos, así como los de nutrición (incluidas dietas especiales) y otros servicios.
;;;Excluye: Las actividades de guarda de animales sin atención sanitaria se incluyen en la clase 0420 (Actividades de servicios relacionadas con la ganadería -excepto Servicios veterinarios-).
;05;;SILVICULTURA,    EXTRACCIÓN    DE     MADERA    Y ACTIVIDADES     CONEXAS
;;0500;Silvicultura, extracción de madera y actividades conexas
;;;En esta clase se incluye la explotación de madera en pie: plantación, replante, trasplante, aclareo y conservación de bosques y zonas forestales.
;;;Explotación de viveros forestales.
;;;Extracción de madera: campamentos madereros, leñadores que se dedican principalmente a la tala de árboles y a producir madera en bruto, como estibas, trozas, estacas, traviesas para vías férreas y  leña.
;;;Recolección de productos forestales maderables  y  silvestres.
;;;Actividades de servicios forestales: estimación e inventario de existencia maderables, lucha contra los incendios de bosques y ordenación forestal, incluso forestación y reforestación. Incluye la evaluación de daños forestales.
;;;Actividades relacionadas con la tala de árboles   transporte de troncos relacionados con la extracción de madera, principalmente dentro del propio bosque.
;;;Producción de carbón vegetal y además otras maderas de uso directo.
;;;Excluye:  La producción de astillas, de especies coníferas y no coníferas se incluye en la clase 2210 (aserrado de madera)
B;;;PESCA
;;;(División 08)
;08;;PESCA
;;0810;Pesca extractiva
;;;En esta clase se incluye la pesca de altura, costera e interior realizada con fines comerciales.
;;;Extracción y elaboración de pescado, crustáceos y moluscos  a bordo de buques pesqueros.
;;;Extracción de esponjas naturales de origen animal y coral.
;;;Actividades de servicios relacionados con la pesca de mar y de agua dulce.
;;;Excluye:  La elaboración de pescado, crustáceos y moluscos que no forma parte de las actividades de pesca propiamente dichas, a saber, la efectuada en buques especiales y en plantas situadas en tierra firme, se incluye en la clase 1512 (Elaboración y conservación de pescado y de otros productos marinos)
;;;La fabricación y reparación de redes se incluye en la clase 1923 (Fabricación  de cuerdas, cordeles, bramantes y redes).
;;;La reparación de barcos pesqueros se incluye en la clase 3840 (Construcción, reparacióny ensamblaje de buques).
;;;Las actividades de servicios relativos a la pesca con fines deportivos o recreativos se incluyen en la clase 9520 (Actividades de recreación deportiva).
;;0820;Explotación de criaderos
;;;En esta clase se incluye la reproducción y cría de peces en granjas piscícolas, cultivos de moluscos para alimentos,  así como las actividades de servicios asociados a los mismos.
;;;Explotación de criaderos de ostiones, embriones de mejillones, almejas y otros moluscos, crías de camarones, langostas, cangrejos y otros productos marinos.
;;;Cultivo de algas comestibles y con fines medicinales.
;;;Excluye:  La cría de ranas se incluye en la clase 0315 (cría de otros animales)
C;;;EXPLOTACIÓN DE MINAS Y CANTERAS
;;;(División  10 - 13 )
;;;Comprende la extracción y beneficio de minerales que se encuentran en la tierra en estado natural como son: el petróleo crudo y gas natural, los minerales metálicos y otros minerales no metálicos.
;;;Incluye la explotación de minas subterráneas y a cielo abierto, el funcionamiento de los pozos y todas las actividades complementarias para aprestar los minerales en bruto, tales como trituración, preparación y beneficio, que se realizan generalmente en el lugar de la extracción o en sus cercanías para mejorar la calidad y facilitar el transporte y el almacenamiento.
;;;Excluye: Las operaciones de trituración, desmenuzamiento y otros tratamientos de ciertas tierras, rocas y minerales que no se realizan con las actividades de explotación de minas y canteras se incluyen en la clase 3099 (Fabricación de otros productos minerales no metálicos n.c.p.)
;;;La captación, depuración y distribución de agua se incluye en la clase 4230 (Captación, depuración y distribución de agua).
;;;La prospección de minerales se incluye en la clase 7120  (Actividades de arquitectura, ingeniería y otras actividades técnicas).
;10;;EXTRACCIÓN DE PETRÓLEO CRUDO Y DE GAS NATURAL
;;1010;Extracción de petróleo crudo y de gas natural
;;;En esta clase se incluye la extracción de petróleo crudo y de minerales bituminosos, es decir, productos naturales, cualesquiera sea su composición e independientemente de que sean obtenidos mediante la perforación de pozos en yacimientos de petróleo normal o condensado, o mediante la extracción de minerales bituminosos.
;;;La extracción de petróleo crudo puede incluir los procesos siguientes: decantación  desalación  deshidratación  estabilización  eliminación de fracciones muy livianas y otros procesos menos importantes, siempre que no alteren las propiedades fundamentales del producto.  Producción de hidrocarburos crudos en estado gaseoso (gas natural).
;;;Explotación con el mismo fin de depósitos de arenas alquitranadas y esquistos bituminosos.
;;;La extracción incluye las operaciones de perforación, terminación y equipamiento de pozos. También incluye la licuefacción y regasificación del gas natural para facilitar su transporte y la producción en el lugar de extracción, con gases del petróleo y de yacimientos de gas, de hidrocarburos líquidos.
;;;Excluye:   Cuando se realizan a cambio de una retribución o por contrata, las actividades de servicios relacionadas con la extracción de petróleo y gas se incluyen en la clase 1020 (Actividades de servicio relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección)
;;;La elaboración de productos de la refinación del petróleo y la recuperación del gas licuado del petróleo durante la refinación del petróleo se incluye en la clase 2500 (Fabricación de productos de la refinación del petróleo).
;;;La producción de gases industriales se incluye en la clase 2811 (Fabricación de sustancias químicas básicas, excepto fertilizantes).
;;;La explotación de oleoductos y gasoductos para el transporte de petróleo y de gas natural se incluye en la clase 6024 (Transporte por tuberías).
;;;La prospección de petróleo y gas mediante pozos de sondeo se incluye en la clase 7120 (Actividades de arquitectura, ingeniería y otras actividades técnicas).
;;1020;Actividades de servicio relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección
;;;Esta clase incluyen las actividades de servicios realizadas en yacimientos de petróleo y de gas a cambio de una retribución o por contrata, incluso perforación dirigida y reperforación, reparación y  desmantelamiento de torres de perforación, cementación de los tubos de encamisado de los pozos de petróleo y de gas, pozos de bombeo  taponamiento y abandono de pozos y otras actividades de servicios conexas.
;;;Excluye: Las actividades de servicios realizadas por empresas  que explotan yacimientos de petróleo y de gas se incluyen en la clase 1010 (Extracción de petróleo crudo y de gas natural).
;;;La prospección de yacimientos de petróleo y de gas y los estudios geofísicos, geológicos y sismográficos conexos se incluyen en la clase 7120 (Actividades de arquitectura, ingeniería y otras actividades técnicas).
;11;;EXTRACCIÓN Y BENEFICIO  DEL MINERAL NÍQUEL
;;1100;Extracción y beneficio  del mineral níquel
;;;En esta clase se incluye la extracción  y beneficio de mineral de níquel. La extracción y beneficio  de minerales polimetálicos  que se explotan debido a su contenido de níquel.
;12;;EXTRACCIÓN DE MINERALES METALÍFEROS
;;1210;Extracción de minerales metalíferos
;;;En esta clase se incluye la extracción de minerales de hierro estimados principalmente por su contenido de hierro como la hematita, la magnetita, la limonita, la siderosa y la taconita.
;;;Además se incluye la extracción de minerales estimados principalmente por su contenido de metales no ferrosos, incluso minerales de aluminio (bauxita), cobre, plomo, cromo, manganeso,  zinc-plomo, estaño, ferroaleaciones (cobalto, molibdeno, tántalo y vanadio), metales preciosos (oro, plata y metales del grupo del platino), tierras raras y otros minerales metalíferos no ferrosos. Así como la extracción y concentración de minerales estimados principalmente por su contenido de uranio y torio.
